survived,pclass,sex,age,sibsp,parch,fare,embarked,deck,embark_town,family_size,is_alone,age_group,fare_per_person,is_male
0,3,male,22.0,1,0,7.25,S,C,Southampton,2,0,young_adult,3.625,1
1,1,female,38.0,1,0,71.2833,C,C,Cherbourg,2,0,adult,35.64165,0
1,3,female,26.0,0,0,7.925,S,C,Southampton,1,1,young_adult,7.925,0
1,1,female,35.0,1,0,53.1,S,C,Southampton,2,0,young_adult,26.55,0
0,3,male,35.0,0,0,8.05,S,C,Southampton,1,1,young_adult,8.05,1
0,3,male,28.0,0,0,8.4583,Q,C,Queenstown,1,1,young_adult,8.4583,1
0,1,male,54.0,0,0,51.8625,S,E,Southampton,1,1,adult,51.8625,1
0,3,male,2.0,3,1,21.075,S,C,Southampton,5,0,child,4.215,1
1,3,female,27.0,0,2,11.1333,S,C,Southampton,3,0,young_adult,3.7111,0
1,2,female,14.0,1,0,30.0708,C,C,Cherbourg,2,0,teen,15.0354,0
1,3,female,4.0,1,1,16.7,S,G,Southampton,3,0,child,5.566666666666666,0
1,1,female,58.0,0,0,26.55,S,C,Southampton,1,1,adult,26.55,0
0,3,male,20.0,0,0,8.05,S,C,Southampton,1,1,young_adult,8.05,1
0,3,male,39.0,1,5,31.275,S,C,Southampton,7,0,adult,4.4678571428571425,1
0,3,female,14.0,0,0,7.8542,S,C,Southampton,1,1,teen,7.8542,0
1,2,female,55.0,0,0,16.0,S,C,Southampton,1,1,adult,16.0,0
0,3,male,2.0,4,1,29.125,Q,C,Queenstown,6,0,child,4.854166666666667,1
1,2,male,28.0,0,0,13.0,S,C,Southampton,1,1,young_adult,13.0,1
0,3,female,31.0,1,0,18.0,S,C,Southampton,2,0,young_adult,9.0,0
1,3,female,28.0,0,0,7.225,C,C,Cherbourg,1,1,young_adult,7.225,0
0,2,male,35.0,0,0,26.0,S,C,Southampton,1,1,young_adult,26.0,1
1,2,male,34.0,0,0,13.0,S,D,Southampton,1,1,young_adult,13.0,1
1,3,female,15.0,0,0,8.0292,Q,C,Queenstown,1,1,teen,8.0292,0
1,1,male,28.0,0,0,35.5,S,A,Southampton,1,1,young_adult,35.5,1
0,3,female,8.0,3,1,21.075,S,C,Southampton,5,0,child,4.215,0
1,3,female,38.0,1,5,31.3875,S,C,Southampton,7,0,adult,4.483928571428572,0
0,3,male,28.0,0,0,7.225,C,C,Cherbourg,1,1,young_adult,7.225,1
0,1,male,19.0,3,2,263.0,S,C,Southampton,6,0,young_adult,43.833333333333336,1
1,3,female,28.0,0,0,7.8792,Q,C,Queenstown,1,1,young_adult,7.8792,0
0,3,male,28.0,0,0,7.8958,S,C,Southampton,1,1,young_adult,7.8958,1
0,1,male,40.0,0,0,27.7208,C,C,Cherbourg,1,1,adult,27.7208,1
1,1,female,28.0,1,0,146.5208,C,B,Cherbourg,2,0,young_adult,73.2604,0
1,3,female,28.0,0,0,7.75,Q,C,Queenstown,1,1,young_adult,7.75,0
0,2,male,66.0,0,0,10.5,S,C,Southampton,1,1,senior,10.5,1
0,1,male,28.0,1,0,82.1708,C,C,Cherbourg,2,0,young_adult,41.0854,1
0,1,male,42.0,1,0,52.0,S,C,Southampton,2,0,adult,26.0,1
1,3,male,28.0,0,0,7.2292,C,C,Cherbourg,1,1,young_adult,7.2292,1
0,3,male,21.0,0,0,8.05,S,C,Southampton,1,1,young_adult,8.05,1
0,3,female,18.0,2,0,18.0,S,C,Southampton,3,0,teen,6.0,0
1,3,female,14.0,1,0,11.2417,C,C,Cherbourg,2,0,teen,5.62085,0
0,3,female,40.0,1,0,9.475,S,C,Southampton,2,0,adult,4.7375,0
0,2,female,27.0,1,0,21.0,S,C,Southampton,2,0,young_adult,10.5,0
0,3,male,28.0,0,0,7.8958,C,C,Cherbourg,1,1,young_adult,7.8958,1
1,2,female,3.0,1,2,41.5792,C,C,Cherbourg,4,0,child,10.3948,0
1,3,female,19.0,0,0,7.8792,Q,C,Queenstown,1,1,young_adult,7.8792,0
0,3,male,28.0,0,0,8.05,S,C,Southampton,1,1,young_adult,8.05,1
0,3,male,28.0,1,0,15.5,Q,C,Queenstown,2,0,young_adult,7.75,1
1,3,female,28.0,0,0,7.75,Q,C,Queenstown,1,1,young_adult,7.75,0
0,3,male,28.0,2,0,21.6792,C,C,Cherbourg,3,0,young_adult,7.226400000000001,1
0,3,female,18.0,1,0,17.8,S,C,Southampton,2,0,teen,8.9,0
0,3,male,7.0,4,1,39.6875,S,C,Southampton,6,0,child,6.614583333333333,1
0,3,male,21.0,0,0,7.8,S,C,Southampton,1,1,young_adult,7.8,1
1,1,female,49.0,1,0,76.7292,C,D,Cherbourg,2,0,adult,38.3646,0
1,2,female,29.0,1,0,26.0,S,C,Southampton,2,0,young_adult,13.0,0
0,1,male,65.0,0,1,61.9792,C,B,Cherbourg,2,0,senior,30.9896,1
1,1,male,28.0,0,0,35.5,S,C,Southampton,1,1,young_adult,35.5,1
1,2,female,21.0,0,0,10.5,S,C,Southampton,1,1,young_adult,10.5,0
0,3,male,28.5,0,0,7.2292,C,C,Cherbourg,1,1,young_adult,7.2292,1
1,2,female,5.0,1,2,27.75,S,C,Southampton,4,0,child,6.9375,0
0,3,male,11.0,5,2,46.9,S,C,Southampton,8,0,child,5.8625,1
0,3,male,22.0,0,0,7.2292,C,C,Cherbourg,1,1,young_adult,7.2292,1
1,1,female,38.0,0,0,80.0,S,B,Southampton,1,1,adult,80.0,0
0,1,male,45.0,1,0,83.475,S,C,Southampton,2,0,adult,41.7375,1
0,3,male,4.0,3,2,27.9,S,C,Southampton,6,0,child,4.6499999999999995,1
0,1,male,28.0,0,0,27.7208,C,C,Cherbourg,1,1,young_adult,27.7208,1
1,3,male,28.0,1,1,15.2458,C,C,Cherbourg,3,0,young_adult,5.081933333333333,1
1,2,female,29.0,0,0,10.5,S,F,Southampton,1,1,young_adult,10.5,0
0,3,male,19.0,0,0,8.1583,S,C,Southampton,1,1,young_adult,8.1583,1
1,3,female,17.0,4,2,7.925,S,C,Southampton,7,0,teen,1.1321428571428571,0
0,3,male,26.0,2,0,8.6625,S,C,Southampton,3,0,young_adult,2.8874999999999997,1
0,2,male,32.0,0,0,10.5,S,C,Southampton,1,1,young_adult,10.5,1
0,3,female,16.0,5,2,46.9,S,C,Southampton,8,0,teen,5.8625,0
0,2,male,21.0,0,0,73.5,S,C,Southampton,1,1,young_adult,73.5,1
0,3,male,26.0,1,0,14.4542,C,C,Cherbourg,2,0,young_adult,7.2271,1
1,3,male,32.0,0,0,56.4958,S,C,Southampton,1,1,young_adult,56.4958,1
0,3,male,25.0,0,0,7.65,S,F,Southampton,1,1,young_adult,7.65,1
0,3,male,28.0,0,0,7.8958,S,C,Southampton,1,1,young_adult,7.8958,1
0,3,male,28.0,0,0,8.05,S,C,Southampton,1,1,young_adult,8.05,1
1,2,male,0.83,0,2,29.0,S,C,Southampton,3,0,child,9.666666666666666,1
1,3,female,30.0,0,0,12.475,S,C,Southampton,1,1,young_adult,12.475,0
0,3,male,22.0,0,0,9.0,S,C,Southampton,1,1,young_adult,9.0,1
1,3,male,29.0,0,0,9.5,S,C,Southampton,1,1,young_adult,9.5,1
1,3,female,28.0,0,0,7.7875,Q,C,Queenstown,1,1,young_adult,7.7875,0
0,1,male,28.0,0,0,47.1,S,C,Southampton,1,1,young_adult,47.1,1
1,2,female,17.0,0,0,10.5,S,C,Southampton,1,1,teen,10.5,0
1,3,female,33.0,3,0,15.85,S,C,Southampton,4,0,young_adult,3.9625,0
0,3,male,16.0,1,3,34.375,S,C,Southampton,5,0,teen,6.875,1
0,3,male,28.0,0,0,8.05,S,C,Southampton,1,1,young_adult,8.05,1
1,1,female,23.0,3,2,263.0,S,C,Southampton,6,0,young_adult,43.833333333333336,0
0,3,male,24.0,0,0,8.05,S,C,Southampton,1,1,young_adult,8.05,1
0,3,male,29.0,0,0,8.05,S,C,Southampton,1,1,young_adult,8.05,1
0,3,male,20.0,0,0,7.8542,S,C,Southampton,1,1,young_adult,7.8542,1
0,1,male,46.0,1,0,61.175,S,E,Southampton,2,0,adult,30.5875,1
0,3,male,26.0,1,2,20.575,S,C,Southampton,4,0,young_adult,5.14375,1
0,3,male,59.0,0,0,7.25,S,C,Southampton,1,1,adult,7.25,1
0,3,male,28.0,0,0,8.05,S,C,Southampton,1,1,young_adult,8.05,1
0,1,male,71.0,0,0,34.6542,C,A,Cherbourg,1,1,senior,34.6542,1
1,1,male,23.0,0,1,63.3583,C,D,Cherbourg,2,0,young_adult,31.67915,1
1,2,female,34.0,0,1,23.0,S,C,Southampton,2,0,young_adult,11.5,0
0,2,male,34.0,1,0,26.0,S,C,Southampton,2,0,young_adult,13.0,1
0,3,female,28.0,0,0,7.8958,S,C,Southampton,1,1,young_adult,7.8958,0
0,3,male,28.0,0,0,7.8958,S,C,Southampton,1,1,young_adult,7.8958,1
0,1,male,21.0,0,1,77.2875,S,D,Southampton,2,0,young_adult,38.64375,1
0,3,male,33.0,0,0,8.6542,S,C,Southampton,1,1,young_adult,8.6542,1
0,3,male,37.0,2,0,7.925,S,C,Southampton,3,0,adult,2.6416666666666666,1
0,3,male,28.0,0,0,7.8958,S,C,Southampton,1,1,young_adult,7.8958,1
1,3,female,21.0,0,0,7.65,S,C,Southampton,1,1,young_adult,7.65,0
1,3,male,28.0,0,0,7.775,S,C,Southampton,1,1,young_adult,7.775,1
0,3,male,38.0,0,0,7.8958,S,C,Southampton,1,1,adult,7.8958,1
1,3,female,28.0,1,0,24.15,Q,C,Queenstown,2,0,young_adult,12.075,0
0,1,male,47.0,0,0,52.0,S,C,Southampton,1,1,adult,52.0,1
0,3,female,14.5,1,0,14.4542,C,C,Cherbourg,2,0,teen,7.2271,0
0,3,male,22.0,0,0,8.05,S,C,Southampton,1,1,young_adult,8.05,1
0,3,female,20.0,1,0,9.825,S,C,Southampton,2,0,young_adult,4.9125,0
0,3,female,17.0,0,0,14.4583,C,C,Cherbourg,1,1,teen,14.4583,0
0,3,male,21.0,0,0,7.925,S,C,Southampton,1,1,young_adult,7.925,1
0,3,male,70.5,0,0,7.75,Q,C,Queenstown,1,1,senior,7.75,1
0,2,male,29.0,1,0,21.0,S,C,Southampton,2,0,young_adult,10.5,1
0,1,male,24.0,0,1,247.5208,C,B,Cherbourg,2,0,young_adult,123.7604,1
0,3,female,2.0,4,2,31.275,S,C,Southampton,7,0,child,4.4678571428571425,0
0,2,male,21.0,2,0,73.5,S,C,Southampton,3,0,young_adult,24.5,1
0,3,male,28.0,0,0,8.05,S,C,Southampton,1,1,young_adult,8.05,1
0,2,male,32.5,1,0,30.0708,C,C,Cherbourg,2,0,young_adult,15.0354,1
1,2,female,32.5,0,0,13.0,S,E,Southampton,1,1,young_adult,13.0,0
0,1,male,54.0,0,1,77.2875,S,D,Southampton,2,0,adult,38.64375,1
1,3,male,12.0,1,0,11.2417,C,C,Cherbourg,2,0,child,5.62085,1
0,3,male,28.0,0,0,7.75,Q,C,Queenstown,1,1,young_adult,7.75,1
1,3,male,24.0,0,0,7.1417,S,C,Southampton,1,1,young_adult,7.1417,1
1,3,female,28.0,1,1,22.3583,C,F,Cherbourg,3,0,young_adult,7.452766666666666,0
0,3,male,45.0,0,0,6.975,S,C,Southampton,1,1,adult,6.975,1
0,3,male,33.0,0,0,7.8958,C,C,Cherbourg,1,1,young_adult,7.8958,1
0,3,male,20.0,0,0,7.05,S,C,Southampton,1,1,young_adult,7.05,1
0,3,female,47.0,1,0,14.5,S,C,Southampton,2,0,adult,7.25,0
1,2,female,29.0,1,0,26.0,S,C,Southampton,2,0,young_adult,13.0,0
0,2,male,25.0,0,0,13.0,S,C,Southampton,1,1,young_adult,13.0,1
0,2,male,23.0,0,0,15.0458,C,C,Cherbourg,1,1,young_adult,15.0458,1
1,1,female,19.0,0,2,26.2833,S,D,Southampton,3,0,young_adult,8.7611,0
0,1,male,37.0,1,0,53.1,S,C,Southampton,2,0,adult,26.55,1
0,3,male,16.0,0,0,9.2167,S,C,Southampton,1,1,teen,9.2167,1
0,1,male,24.0,0,0,79.2,C,B,Cherbourg,1,1,young_adult,79.2,1
0,3,female,28.0,0,2,15.2458,C,C,Cherbourg,3,0,young_adult,5.081933333333333,0
1,3,female,22.0,0,0,7.75,S,C,Southampton,1,1,young_adult,7.75,0
1,3,female,24.0,1,0,15.85,S,C,Southampton,2,0,young_adult,7.925,0
0,3,male,19.0,0,0,6.75,Q,C,Queenstown,1,1,young_adult,6.75,1
0,2,male,18.0,0,0,11.5,S,C,Southampton,1,1,teen,11.5,1
0,2,male,19.0,1,1,36.75,S,C,Southampton,3,0,young_adult,12.25,1
1,3,male,27.0,0,0,7.7958,S,C,Southampton,1,1,young_adult,7.7958,1
0,3,female,9.0,2,2,34.375,S,C,Southampton,5,0,child,6.875,0
0,2,male,36.5,0,2,26.0,S,F,Southampton,3,0,adult,8.666666666666666,1
0,2,male,42.0,0,0,13.0,S,C,Southampton,1,1,adult,13.0,1
0,2,male,51.0,0,0,12.525,S,C,Southampton,1,1,adult,12.525,1
1,1,female,22.0,1,0,66.6,S,C,Southampton,2,0,young_adult,33.3,0
0,3,male,55.5,0,0,8.05,S,C,Southampton,1,1,adult,8.05,1
0,3,male,40.5,0,2,14.5,S,C,Southampton,3,0,adult,4.833333333333333,1
0,3,male,28.0,0,0,7.3125,S,C,Southampton,1,1,young_adult,7.3125,1
0,1,male,51.0,0,1,61.3792,C,C,Cherbourg,2,0,adult,30.6896,1
1,3,female,16.0,0,0,7.7333,Q,C,Queenstown,1,1,teen,7.7333,0
0,3,male,30.0,0,0,8.05,S,C,Southampton,1,1,young_adult,8.05,1
0,3,male,28.0,0,0,8.6625,S,C,Southampton,1,1,young_adult,8.6625,1
0,3,male,28.0,8,2,69.55,S,C,Southampton,11,0,young_adult,6.322727272727272,1
0,3,male,44.0,0,1,16.1,S,C,Southampton,2,0,adult,8.05,1
1,2,female,40.0,0,0,15.75,S,C,Southampton,1,1,adult,15.75,0
0,3,male,26.0,0,0,7.775,S,C,Southampton,1,1,young_adult,7.775,1
0,3,male,17.0,0,0,8.6625,S,C,Southampton,1,1,teen,8.6625,1
0,3,male,1.0,4,1,39.6875,S,C,Southampton,6,0,child,6.614583333333333,1
1,3,male,9.0,0,2,20.525,S,C,Southampton,3,0,child,6.841666666666666,1
1,1,female,28.0,0,1,55.0,S,E,Southampton,2,0,young_adult,27.5,0
0,3,female,45.0,1,4,27.9,S,C,Southampton,6,0,adult,4.6499999999999995,0
0,1,male,28.0,0,0,25.925,S,C,Southampton,1,1,young_adult,25.925,1
0,3,male,28.0,0,0,56.4958,S,C,Southampton,1,1,young_adult,56.4958,1
0,1,male,61.0,0,0,33.5,S,B,Southampton,1,1,senior,33.5,1
0,3,male,4.0,4,1,29.125,Q,C,Queenstown,6,0,child,4.854166666666667,1
1,3,female,1.0,1,1,11.1333,S,C,Southampton,3,0,child,3.7111,0
0,3,male,21.0,0,0,7.925,S,C,Southampton,1,1,young_adult,7.925,1
0,1,male,56.0,0,0,30.6958,C,A,Cherbourg,1,1,adult,30.6958,1
0,3,male,18.0,1,1,7.8542,S,C,Southampton,3,0,teen,2.6180666666666665,1
0,3,male,28.0,3,1,25.4667,S,C,Southampton,5,0,young_adult,5.0933399999999995,1
0,1,female,50.0,0,0,28.7125,C,C,Cherbourg,1,1,adult,28.7125,0
0,2,male,30.0,0,0,13.0,S,C,Southampton,1,1,young_adult,13.0,1
0,3,male,36.0,0,0,0.0,S,C,Southampton,1,1,adult,0.0,1
0,3,female,28.0,8,2,69.55,S,C,Southampton,11,0,young_adult,6.322727272727272,0
0,2,male,28.0,0,0,15.05,C,C,Cherbourg,1,1,young_adult,15.05,1
0,3,male,9.0,4,2,31.3875,S,C,Southampton,7,0,child,4.483928571428572,1
1,2,male,1.0,2,1,39.0,S,F,Southampton,4,0,child,9.75,1
1,3,female,4.0,0,2,22.025,S,C,Southampton,3,0,child,7.341666666666666,0
0,1,male,28.0,0,0,50.0,S,A,Southampton,1,1,young_adult,50.0,1
1,3,female,28.0,1,0,15.5,Q,C,Queenstown,2,0,young_adult,7.75,0
1,1,male,45.0,0,0,26.55,S,C,Southampton,1,1,adult,26.55,1
0,3,male,40.0,1,1,15.5,Q,C,Queenstown,3,0,adult,5.166666666666667,1
0,3,male,36.0,0,0,7.8958,S,C,Southampton,1,1,adult,7.8958,1
1,2,female,32.0,0,0,13.0,S,C,Southampton,1,1,young_adult,13.0,0
0,2,male,19.0,0,0,13.0,S,C,Southampton,1,1,young_adult,13.0,1
1,3,female,19.0,1,0,7.8542,S,C,Southampton,2,0,young_adult,3.9271,0
1,2,male,3.0,1,1,26.0,S,F,Southampton,3,0,child,8.666666666666666,1
1,1,female,44.0,0,0,27.7208,C,B,Cherbourg,1,1,adult,27.7208,0
1,1,female,58.0,0,0,146.5208,C,B,Cherbourg,1,1,adult,146.5208,0
0,3,male,28.0,0,0,7.75,Q,C,Queenstown,1,1,young_adult,7.75,1
0,3,male,42.0,0,1,8.4042,S,C,Southampton,2,0,adult,4.2021,1
1,3,female,28.0,0,0,7.75,Q,C,Queenstown,1,1,young_adult,7.75,0
0,2,female,24.0,0,0,13.0,S,C,Southampton,1,1,young_adult,13.0,0
0,3,male,28.0,0,0,9.5,S,C,Southampton,1,1,young_adult,9.5,1
0,3,male,28.0,8,2,69.55,S,C,Southampton,11,0,young_adult,6.322727272727272,1
0,3,male,34.0,0,0,6.4958,S,C,Southampton,1,1,young_adult,6.4958,1
0,3,male,45.5,0,0,7.225,C,C,Cherbourg,1,1,adult,7.225,1
1,3,male,18.0,0,0,8.05,S,C,Southampton,1,1,teen,8.05,1
0,3,female,2.0,0,1,10.4625,S,G,Southampton,2,0,child,5.23125,0
0,3,male,32.0,1,0,15.85,S,C,Southampton,2,0,young_adult,7.925,1
1,3,male,26.0,0,0,18.7875,C,C,Cherbourg,1,1,young_adult,18.7875,1
1,3,female,16.0,0,0,7.75,Q,C,Queenstown,1,1,teen,7.75,0
1,1,male,40.0,0,0,31.0,C,A,Cherbourg,1,1,adult,31.0,1
0,3,male,24.0,0,0,7.05,S,C,Southampton,1,1,young_adult,7.05,1
1,2,female,35.0,0,0,21.0,S,C,Southampton,1,1,young_adult,21.0,0
0,3,male,22.0,0,0,7.25,S,C,Southampton,1,1,young_adult,7.25,1
0,2,male,30.0,0,0,13.0,S,C,Southampton,1,1,young_adult,13.0,1
0,3,male,28.0,1,0,7.75,Q,C,Queenstown,2,0,young_adult,3.875,1
1,1,female,31.0,1,0,113.275,C,D,Cherbourg,2,0,young_adult,56.6375,0
1,3,female,27.0,0,0,7.925,S,C,Southampton,1,1,young_adult,7.925,0
0,2,male,42.0,1,0,27.0,S,C,Southampton,2,0,adult,13.5,1
1,1,female,32.0,0,0,76.2917,C,D,Cherbourg,1,1,young_adult,76.2917,0
0,2,male,30.0,0,0,10.5,S,C,Southampton,1,1,young_adult,10.5,1
1,3,male,16.0,0,0,8.05,S,C,Southampton,1,1,teen,8.05,1
0,2,male,27.0,0,0,13.0,S,C,Southampton,1,1,young_adult,13.0,1
0,3,male,51.0,0,0,8.05,S,C,Southampton,1,1,adult,8.05,1
0,3,male,28.0,0,0,7.8958,S,C,Southampton,1,1,young_adult,7.8958,1
1,1,male,38.0,1,0,90.0,S,C,Southampton,2,0,adult,45.0,1
0,3,male,22.0,0,0,9.35,S,C,Southampton,1,1,young_adult,9.35,1
1,2,male,19.0,0,0,10.5,S,C,Southampton,1,1,young_adult,10.5,1
0,3,male,20.5,0,0,7.25,S,C,Southampton,1,1,young_adult,7.25,1
0,2,male,18.0,0,0,13.0,S,C,Southampton,1,1,teen,13.0,1
0,3,female,28.0,3,1,25.4667,S,C,Southampton,5,0,young_adult,5.0933399999999995,0
1,1,female,35.0,1,0,83.475,S,C,Southampton,2,0,young_adult,41.7375,0
0,3,male,29.0,0,0,7.775,S,C,Southampton,1,1,young_adult,7.775,1
0,2,male,59.0,0,0,13.5,S,C,Southampton,1,1,adult,13.5,1
1,3,female,5.0,4,2,31.3875,S,C,Southampton,7,0,child,4.483928571428572,0
0,2,male,24.0,0,0,10.5,S,C,Southampton,1,1,young_adult,10.5,1
0,3,female,28.0,0,0,7.55,S,C,Southampton,1,1,young_adult,7.55,0
0,2,male,44.0,1,0,26.0,S,C,Southampton,2,0,adult,13.0,1
1,2,female,8.0,0,2,26.25,S,C,Southampton,3,0,child,8.75,0
0,2,male,19.0,0,0,10.5,S,C,Southampton,1,1,young_adult,10.5,1
0,2,male,33.0,0,0,12.275,S,C,Southampton,1,1,young_adult,12.275,1
0,3,female,28.0,1,0,14.4542,C,C,Cherbourg,2,0,young_adult,7.2271,0
1,3,female,28.0,1,0,15.5,Q,C,Queenstown,2,0,young_adult,7.75,0
0,2,male,29.0,0,0,10.5,S,C,Southampton,1,1,young_adult,10.5,1
0,3,male,22.0,0,0,7.125,S,C,Southampton,1,1,young_adult,7.125,1
0,3,male,30.0,0,0,7.225,C,C,Cherbourg,1,1,young_adult,7.225,1
0,1,male,44.0,2,0,90.0,Q,C,Queenstown,3,0,adult,30.0,1
0,3,female,25.0,0,0,7.775,S,C,Southampton,1,1,young_adult,7.775,0
1,2,female,24.0,0,2,14.5,S,C,Southampton,3,0,young_adult,4.833333333333333,0
1,1,male,37.0,1,1,52.5542,S,D,Southampton,3,0,adult,17.518066666666666,1
0,2,male,54.0,1,0,26.0,S,C,Southampton,2,0,adult,13.0,1
0,3,male,28.0,0,0,7.25,S,C,Southampton,1,1,young_adult,7.25,1
0,3,female,29.0,1,1,10.4625,S,G,Southampton,3,0,young_adult,3.4875000000000003,0
0,1,male,62.0,0,0,26.55,S,C,Southampton,1,1,senior,26.55,1
0,3,male,30.0,1,0,16.1,S,C,Southampton,2,0,young_adult,8.05,1
0,3,female,41.0,0,2,20.2125,S,C,Southampton,3,0,adult,6.7375,0
1,3,female,29.0,0,2,15.2458,C,C,Cherbourg,3,0,young_adult,5.081933333333333,0
1,1,female,28.0,0,0,79.2,C,C,Cherbourg,1,1,young_adult,79.2,0
1,1,female,30.0,0,0,86.5,S,B,Southampton,1,1,young_adult,86.5,0
1,1,female,35.0,0,0,512.3292,C,C,Cherbourg,1,1,young_adult,512.3292,0
1,2,female,50.0,0,1,26.0,S,C,Southampton,2,0,adult,13.0,0
0,3,male,28.0,0,0,7.75,Q,C,Queenstown,1,1,young_adult,7.75,1
1,3,male,3.0,4,2,31.3875,S,C,Southampton,7,0,child,4.483928571428572,1
0,1,male,52.0,1,1,79.65,S,E,Southampton,3,0,adult,26.55,1
0,1,male,40.0,0,0,0.0,S,B,Southampton,1,1,adult,0.0,1
0,3,female,28.0,0,0,7.75,Q,C,Queenstown,1,1,young_adult,7.75,0
0,2,male,36.0,0,0,10.5,S,C,Southampton,1,1,adult,10.5,1
0,3,male,16.0,4,1,39.6875,S,C,Southampton,6,0,teen,6.614583333333333,1
1,3,male,25.0,1,0,7.775,S,C,Southampton,2,0,young_adult,3.8875,1
1,1,female,58.0,0,1,153.4625,S,C,Southampton,2,0,adult,76.73125,0
1,1,female,35.0,0,0,135.6333,S,C,Southampton,1,1,young_adult,135.6333,0
0,1,male,28.0,0,0,31.0,S,C,Southampton,1,1,young_adult,31.0,1
1,3,male,25.0,0,0,0.0,S,C,Southampton,1,1,young_adult,0.0,1
1,2,female,41.0,0,1,19.5,S,C,Southampton,2,0,adult,9.75,0
0,1,male,37.0,0,1,29.7,C,C,Cherbourg,2,0,adult,14.85,1
1,3,female,28.0,0,0,7.75,Q,C,Queenstown,1,1,young_adult,7.75,0
1,1,female,63.0,1,0,77.9583,S,D,Southampton,2,0,senior,38.97915,0
0,3,female,45.0,0,0,7.75,S,C,Southampton,1,1,adult,7.75,0
0,2,male,28.0,0,0,0.0,S,C,Southampton,1,1,young_adult,0.0,1
0,3,male,7.0,4,1,29.125,Q,C,Queenstown,6,0,child,4.854166666666667,1
1,3,female,35.0,1,1,20.25,S,C,Southampton,3,0,young_adult,6.75,0
0,3,male,65.0,0,0,7.75,Q,C,Queenstown,1,1,senior,7.75,1
0,3,male,28.0,0,0,7.8542,S,C,Southampton,1,1,young_adult,7.8542,1
0,3,male,16.0,0,0,9.5,S,C,Southampton,1,1,teen,9.5,1
1,3,male,19.0,0,0,8.05,S,C,Southampton,1,1,young_adult,8.05,1
0,1,male,28.0,0,0,26.0,S,A,Southampton,1,1,young_adult,26.0,1
0,3,male,33.0,0,0,8.6625,C,C,Cherbourg,1,1,young_adult,8.6625,1
1,3,male,30.0,0,0,9.5,S,C,Southampton,1,1,young_adult,9.5,1
0,3,male,22.0,0,0,7.8958,S,C,Southampton,1,1,young_adult,7.8958,1
1,2,male,42.0,0,0,13.0,S,C,Southampton,1,1,adult,13.0,1
1,3,female,22.0,0,0,7.75,Q,C,Queenstown,1,1,young_adult,7.75,0
1,1,female,26.0,0,0,78.85,S,C,Southampton,1,1,young_adult,78.85,0
1,1,female,19.0,1,0,91.0792,C,B,Cherbourg,2,0,young_adult,45.5396,0
0,2,male,36.0,0,0,12.875,C,D,Cherbourg,1,1,adult,12.875,1
0,3,female,24.0,0,0,8.85,S,C,Southampton,1,1,young_adult,8.85,0
